id,describe
4,出现错误，请截图联系客服
9,兑换码不存在
10,兑换码不在有效期内
11,每个兑换码只可领取1次哦
12,来晚了！兑换码已用完
403,出现错误，请截图联系客服
404,用户不存在，请截图联系客服
405,服务器错误，请截图联系客服
406,金币不足，快去获取吧
407,财神迷路了，请重新登录
408,财神迷路了，请重新登录
409,出现错误，请截图联系客服
414,财神迷路了，请重新登录
500,已经达到赠送限额
514,能量已满，用掉些再来吧
515,你们已经是好友了哦
516,请不要重复申请
518,请重新登录或联系客服
520,还没有到领取时间哦
521,旷工已满，快去开启下一岛屿吧
522,活动还未开启
523,没有足够的铁锹
524,没有足够的铁锹
525,不要贪心，只能购买一次哦
526,能量已满，用掉些再来吧
527,转转盘获取【召唤石】解锁副本吧
528,副本还未开启
529,不能重复完成同一副本哦
530,没有奖励可以领取，快去完成副本吧
531,请先点击副本图标激活副本
532,卡槽内的卡牌数量已满
533,不能重复抽卡哦
2401,出现错误，请截图联系客服
2402,出现错误，请截图联系客服
2405,用户不存在，请截图联系客服
2409,财神迷路了，请重新登录
2410,能量不足，快去获取吧
2413,ID格式有误
2414,出现错误，请前往Facebook授权游戏
2503,出现错误，请截图联系客服
2509,出现错误，请截图联系客服
2512,用户不存在，再去确认下吧
2513,不能添加自己为好友哦
2517,通缉令不足，快去获取吧
2999,出现错误，请截图联系客服
